City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Hit,IQ,2021-11-27 16:55:12,33.6416,42.8251,66.15,38,73,8.46,broken clouds
149,Nishihara,JP,2021-11-27 16:55:12,26.1842,127.7558,70.88,53,75,18.41,broken clouds
150,Maragogi,BR,2021-11-27 16:55:13,-9.0122,-35.2225,84.65,63,61,14.79,broken clouds
151,Miles City,US,2021-11-27 16:55:13,46.4083,-105.8406,39.81,66,100,2.33,overcast clouds
152,Samus,RU,2021-11-27 16:55:14,56.7475,84.6992,18.7,93,100,13.27,snow
153,Vardo,NO,2021-11-27 16:51:29,70.3705,31.1107,23.59,73,73,13.15,broken clouds
154,Araguaina,BR,2021-11-27 16:55:14,-7.1911,-48.2072,87.73,57,66,7.52,broken clouds
155,Tagab,AF,2021-11-27 16:55:15,34.855,69.6492,49.33,38,0,4.72,clear sky
156,Evora,PT,2021-11-27 16:55:15,38.5667,-7.9,54.54,51,25,17.63,scattered clouds
157,Parry Sound,CA,2021-11-27 16:53:12,45.3501,-80.033,28.31,58,3,5.17,clear sky
158,Nioaque,BR,2021-11-27 16:55:15,-21.1353,-55.83,98.6,37,9,5.95,clear sky
159,Kidal,ML,2021-11-27 16:55:16,18.4411,1.4078,87.42,13,4,7.02,clear sky
160,Gorom-Gorom,BF,2021-11-27 16:55:16,14.4439,-0.2361,92.91,10,41,8.52,scattered clouds
161,Opuwo,NA,2021-11-27 16:55:17,-18.0607,13.84,87.49,13,59,14.97,broken clouds
162,Mathbaria,BD,2021-11-27 16:55:17,22.2876,89.9593,64.63,55,23,3.76,few clouds
163,Saint-Philippe,RE,2021-11-27 16:55:18,-21.3585,55.7679,76.59,86,57,4.59,light rain
164,Vila Franca Do Campo,PT,2021-11-27 16:55:18,37.7167,-25.4333,63.01,66,53,8.05,broken clouds
165,Tessalit,ML,2021-11-27 16:55:18,20.1986,1.0114,87.44,15,79,8.55,broken clouds
166,Metro,ID,2021-11-27 16:52:00,-5.1131,105.3067,75.33,86,99,4.45,heavy intensity rain
167,Lavrentiya,RU,2021-11-27 16:55:19,65.5833,-171.0,-10.71,91,4,8.32,clear sky
168,Mwinilunga,ZM,2021-11-27 16:55:19,-11.7358,24.4293,64.69,93,73,4.79,light rain
169,Cidreira,BR,2021-11-27 16:55:20,-30.1811,-50.2056,72.79,85,67,13.69,broken clouds
170,Bilibino,RU,2021-11-27 16:55:20,68.0546,166.4372,-28.46,98,12,4.23,few clouds
171,Klaksvik,FO,2021-11-27 16:55:21,62.2266,-6.589,31.12,67,100,11.39,overcast clouds
172,Awjilah,LY,2021-11-27 16:55:21,29.1081,21.2869,74.3,33,34,4.12,scattered clouds
173,Fortuna,US,2021-11-27 16:55:22,40.5982,-124.1573,49.12,93,1,9.22,clear sky
174,Springbok,ZA,2021-11-27 16:55:22,-29.6643,17.8865,57.2,82,60,18.61,broken clouds
175,Naze,JP,2021-11-27 16:55:23,28.3667,129.4833,62.11,59,7,20.02,clear sky
176,Atascadero,US,2021-11-27 16:55:23,35.4894,-120.6707,47.55,28,45,6.51,scattered clouds
177,Tuatapere,NZ,2021-11-27 16:55:24,-46.1333,167.6833,40.1,94,100,3.09,overcast clouds
178,Sao Filipe,CV,2021-11-27 16:55:24,14.8961,-24.4956,78.51,72,33,9.66,scattered clouds
179,Muros,ES,2021-11-27 16:55:25,42.7762,-9.0603,46.9,64,27,19.71,scattered clouds
180,Hamilton,US,2021-11-27 16:53:20,39.1834,-84.5333,42.21,33,68,10.45,broken clouds
181,Idritsa,RU,2021-11-27 16:55:26,56.3316,28.8988,32.68,99,100,4.0,light snow
182,Chauk,MM,2021-11-27 16:55:26,20.8833,94.8167,72.27,72,8,5.46,clear sky
183,Malanje,AO,2021-11-27 16:55:27,-9.5402,16.341,66.56,91,97,2.62,overcast clouds
184,Zhigansk,RU,2021-11-27 16:55:27,66.7697,123.3711,-3.55,98,100,3.0,overcast clouds
185,Byron Bay,AU,2021-11-27 16:55:22,-28.65,153.6167,69.75,89,100,13.22,overcast clouds
186,Norman Wells,CA,2021-11-27 16:55:28,65.282,-126.8329,-12.96,70,40,5.75,scattered clouds
187,Otane,NZ,2021-11-27 16:55:28,-39.8833,176.6333,53.13,94,97,1.34,moderate rain
188,Valdivia,CL,2021-11-27 16:55:29,-39.8142,-73.2459,62.69,43,18,6.67,few clouds
189,Buala,SB,2021-11-27 16:55:29,-8.145,159.5921,79.41,81,99,1.32,overcast clouds
190,La Rioja,ES,2021-11-27 16:55:30,42.25,-2.5,33.58,95,99,12.53,light rain
191,Male,MV,2021-11-27 16:55:30,4.1748,73.5089,82.35,83,75,10.36,broken clouds
192,Hobyo,SO,2021-11-27 16:55:30,5.3505,48.5268,80.91,78,27,11.25,scattered clouds
193,Tikrit,IQ,2021-11-27 16:55:31,34.6071,43.6782,66.4,36,81,7.38,broken clouds
194,Dikson,RU,2021-11-27 16:55:31,73.5069,80.5464,-8.95,97,100,9.22,overcast clouds
195,Miramar,US,2021-11-27 16:55:32,25.9873,-80.2323,73.42,54,3,5.57,clear sky
196,Vao,NC,2021-11-27 16:55:32,-22.6667,167.4833,75.33,88,100,17.54,overcast clouds
197,Tombouctou,ML,2021-11-27 16:55:33,20.0,-3.0,86.52,16,100,5.95,overcast clouds
198,Ambilobe,MG,2021-11-27 16:55:33,-13.2,49.05,78.26,82,96,0.36,moderate rain
199,Maksatikha,RU,2021-11-27 16:55:33,57.797,35.8825,32.76,98,100,8.79,snow
200,Pacific Grove,US,2021-11-27 16:55:34,36.6177,-121.9166,48.6,47,8,9.84,clear sky
201,Bonga,ET,2021-11-27 16:55:34,7.2833,36.2333,67.62,60,89,1.41,overcast clouds
202,Clyde River,CA,2021-11-27 16:55:34,70.4692,-68.5914,7.03,85,90,5.75,overcast clouds
203,Ust-Karsk,RU,2021-11-27 16:55:35,52.7011,118.8077,9.64,97,100,2.06,overcast clouds
204,Altud,RU,2021-11-27 16:55:35,43.7219,43.8658,32.45,88,85,1.03,overcast clouds
205,Lorengau,PG,2021-11-27 16:55:35,-2.0226,147.2712,80.35,77,66,2.01,broken clouds
206,Ribeira Grande,PT,2021-11-27 16:55:36,38.5167,-28.7,66.6,59,20,13.8,few clouds
207,Kodiak,US,2021-11-27 16:55:36,57.79,-152.4072,12.9,79,88,10.36,overcast clouds
208,Abha,SA,2021-11-27 16:55:05,18.2164,42.5053,64.22,77,0,4.61,clear sky
209,Tadine,NC,2021-11-27 16:55:37,-21.55,167.8833,73.87,91,100,15.12,light rain
210,Le Vauclin,MQ,2021-11-27 16:55:37,14.5452,-60.8388,87.85,66,75,11.5,broken clouds
211,Bathsheba,BB,2021-11-27 16:55:37,13.2167,-59.5167,86.61,70,40,10.36,scattered clouds
212,Mezen,RU,2021-11-27 16:55:38,65.8522,44.24,0.72,98,45,3.56,scattered clouds
213,Ravar,IR,2021-11-27 16:55:38,31.2656,56.8055,56.25,37,3,3.31,clear sky
214,Sencha,UA,2021-11-27 16:55:39,50.2548,33.346,44.26,93,100,8.12,overcast clouds
215,Bethel,US,2021-11-27 16:55:40,41.3712,-73.414,38.23,45,6,14.14,clear sky
216,Cuiluan,CN,2021-11-27 16:55:40,47.72,128.648,10.11,93,46,2.73,scattered clouds
217,Cape Town,ZA,2021-11-27 16:53:47,-33.9258,18.4232,66.61,88,75,25.32,broken clouds
218,Evensk,RU,2021-11-27 16:55:41,61.95,159.2333,2.08,82,95,10.09,overcast clouds
219,Gushikawa,JP,2021-11-27 16:55:41,26.3544,127.8686,70.83,52,40,23.02,scattered clouds
220,Biala Podlaska,PL,2021-11-27 16:55:42,52.0324,23.1165,36.07,70,100,12.01,overcast clouds
221,Tuktoyaktuk,CA,2021-11-27 16:55:42,69.4541,-133.0374,-7.6,77,90,20.71,light snow
222,Pangai,TO,2021-11-27 16:55:43,-19.8,-174.35,81.27,78,99,16.58,overcast clouds
223,Banjar,ID,2021-11-27 16:55:43,-8.19,114.9675,80.46,91,100,4.9,light rain
224,Oranjemund,NA,2021-11-27 16:55:44,-28.55,16.4333,64.89,80,6,9.53,clear sky
225,Flinders,AU,2021-11-27 16:55:44,-34.5833,150.8552,56.48,86,99,13.13,overcast clouds
226,Kalmunai,LK,2021-11-27 16:55:44,7.4167,81.8167,79.43,86,92,1.83,moderate rain
227,Pochutla,MX,2021-11-27 16:51:04,15.7432,-96.4661,87.21,44,6,5.5,clear sky
228,Husavik,IS,2021-11-27 16:55:45,66.0449,-17.3389,35.51,83,98,16.96,overcast clouds
229,Dhule,IN,2021-11-27 16:55:45,20.9,74.7833,75.72,37,38,7.56,scattered clouds
230,Tonj,SS,2021-11-27 16:55:46,7.2737,28.6822,82.78,30,16,4.21,few clouds
231,Pathein,MM,2021-11-27 16:55:46,16.7833,94.7333,74.03,92,13,5.14,few clouds
232,Jalu,LY,2021-11-27 16:51:36,29.0331,21.5482,73.27,34,38,2.93,scattered clouds
233,Saint Anthony,US,2021-11-27 16:55:47,45.0205,-93.218,34.12,51,75,6.91,broken clouds
234,Yorosso,ML,2021-11-27 16:55:47,12.3536,-4.7761,95.0,12,62,7.2,broken clouds
235,Coahuayana,MX,2021-11-27 16:55:47,18.7333,-103.6833,81.88,49,38,0.78,scattered clouds
236,Rio Grande,BR,2021-11-27 16:55:48,-32.035,-52.0986,78.91,74,52,13.0,broken clouds
237,Obihiro,JP,2021-11-27 16:55:48,42.9172,143.2044,30.79,78,45,7.18,scattered clouds
238,Chicama,PE,2021-11-27 16:55:49,-7.8447,-79.1469,66.74,57,25,11.07,scattered clouds
239,Ponta Do Sol,PT,2021-11-27 16:55:49,32.6667,-17.1,61.43,67,21,6.04,few clouds
240,Touros,BR,2021-11-27 16:55:50,-5.1989,-35.4608,88.7,64,68,12.5,broken clouds
241,Udachnyy,RU,2021-11-27 16:55:50,66.4167,112.4,-12.39,95,59,4.9,broken clouds
242,Leningradskiy,RU,2021-11-27 16:55:50,69.3833,178.4167,-19.79,90,6,8.57,clear sky
243,Mutoko,ZW,2021-11-27 16:55:51,-17.397,32.2268,65.39,55,2,11.25,clear sky
244,Sao Joao Da Barra,BR,2021-11-27 16:55:51,-21.6403,-41.0511,78.89,74,88,10.67,overcast clouds
245,Sisimiut,GL,2021-11-27 16:55:52,66.9395,-53.6735,27.48,90,100,11.18,light snow
246,Catamarca,AR,2021-11-27 16:55:52,-28.4696,-65.7852,92.37,30,0,16.84,clear sky
247,Lagoa,PT,2021-11-27 16:55:52,39.05,-27.9833,60.46,64,46,8.75,scattered clouds
248,Mitsamiouli,KM,2021-11-27 16:55:53,-11.3847,43.2844,77.29,94,20,4.61,light rain
249,Surgut,RU,2021-11-27 16:55:53,61.25,73.4167,30.38,100,90,11.18,snow
250,Severo-Kurilsk,RU,2021-11-27 16:55:53,50.6789,156.125,28.56,70,96,24.4,overcast clouds
251,Margate,GB,2021-11-27 16:52:41,51.3813,1.3862,42.51,88,100,32.59,light rain
252,Turinsk,RU,2021-11-27 16:55:54,58.0458,63.696,27.28,85,86,13.44,overcast clouds
253,Bakchar,RU,2021-11-27 16:55:54,57.0186,82.0711,20.95,93,100,12.66,light snow
254,Daloa,CI,2021-11-27 16:55:55,6.8774,-6.4502,87.64,45,69,2.77,broken clouds
255,Myingyan,MM,2021-11-27 16:55:55,21.4667,95.3833,70.59,73,23,3.15,few clouds
256,Krasnyy Chikoy,RU,2021-11-27 16:55:55,50.3643,108.7512,10.62,94,100,2.64,overcast clouds
257,Bangsund,NO,2021-11-27 16:55:56,64.3968,11.3949,16.74,94,51,4.97,broken clouds
